Min_Expected_Claims,FIR,PFTR,SSFTR,P_le_01,P_le_05,P_le_10,P_le_50,Calibration_Status,Northern Oncology Growth_Power,Northern Oncology Growth_Recovery,Severe Winter Respiratory Strain_Power,Severe Winter Respiratory Strain_Recovery,Southern Orthopedic Shift_Power,Southern Orthopedic Shift_Recovery
5,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
10,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
15,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
20,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
25,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
30,0.056,0.0,0.056,0.011466666666666667,0.051333333333333335,0.10066666666666667,0.5046666666666667,Approximately Calibrated,1.0,1.0,1.0,1.0,1.0,0.28
